Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.16,-.21,-.15,-.08,-.22,-.22,-.07,-.14,-.24,-.16,-.24,-.24,-0.18,-0.18,-0.17,-0.15,-0.14,-0.21
1881,-.17,-.34,-.33,-.24,-.27,-.17,-.26,-.30,-.07,-.21,-.19,-.31,-0.24,-0.24,-0.28,-0.28,-0.24,-0.16
1882,-.23,-.17,-.27,-.15,-.23,-.21,-.23,-.03,-.18,-.27,-.12,-.28,-0.20,-0.20,-0.22,-0.22,-0.16,-0.19
1883,-.16,-.33,-.28,-.16,-.11,-.16,-.18,-.20,-.28,-.23,-.21,-.09,-0.20,-0.20,-0.26,-0.18,-0.18,-0.24
1884,-.14,-.31,-.14,-.20,-.22,-.12,-.08,-.09,-.23,-.19,-.14,-.09,-0.16,-0.16,-0.19,-0.18,-0.10,-0.19
1885,-.19,-.17,-.24,-.25,-.09,-.05,-.16,-.08,-.13,-.21,-.13,-.03,-0.14,-0.14,-0.20,-0.20,-0.09,-0.15
1886,-.15,-.02,-.36,-.08,-.14,-.17,-.14,-.31,-.16,-.12,-.03,-.19,-0.16,-0.16,-0.18,-0.19,-0.21,-0.10
1887,-.20,-.18,-.06,-.11,-.18,-.10,-.13,-.06,-.19,-.16,-.17,-.25,-0.15,-0.15,-0.15,-0.12,-0.10,-0.18
1888,-.11,-.11,-.13,-.15,-.24,-.16,-.16,-.19,-.14,-.10,.02,-.11,-0.13,-0.13,-0.11,-0.17,-0.17,-0.07
1889,-.10,-.13,-.27,-.12,-.12,.08,-.14,-.10,-.12,-.21,-.03,-.06,-0.11,-0.11,-0.17,-0.17,-0.05,-0.12
1890,-.05,-.18,.00,-.22,-.06,.06,-.19,-.16,-.10,-.15,-.24,-.11,-0.12,-0.12,-0.08,-0.10,-0.09,-0.16
1891,-.19,-.06,-.18,.02,-.16,-.13,-.04,-.20,-.08,.00,-.23,-.09,-0.11,-0.11,-0.14,-0.11,-0.12,-0.10
1892,-.07,-.03,-.19,-.20,-.05,-.07,-.07,-.07,-.15,-.07,-.07,-.15,-0.10,-0.10,-0.10,-0.15,-0.07,-0.10
1893,.07,-.05,-.18,-.03,-.16,-.02,.01,-.15,-.01,-.05,-.02,.07,-0.04,-0.04,-0.05,-0.12,-0.05,-0.03
1894,-.09,-.14,-.15,-.14,-.08,-.05,-.05,-.01,-.07,.04,-.10,.14,-0.06,-0.06,-0.13,-0.12,-0.04,-0.04
